Date : 2022-03-31 12:21:06
Directory : c:\Users\FizzyApple12\Desktop\3494_2022_repo
Total : 71 files,  3862 codes, 541 comments, 1061 blanks, all 5464 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\debug\TestClimber.java                                   | Java       |         16 |          0 |          6 |         22 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\debug\TestDrivetrain.java                                | Java       |         16 |          0 |          6 |         22 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\debug\TestIntake.java                                    | Java       |         16 |          0 |          6 |         22 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\debug\TestMagazine.java                                  | Java       |         16 |          0 |          6 |         22 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\debug\TestShooter.java                                   | Java       |         16 |          0 |          6 |         22 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\teleop\Drive.java                                        | Java       |        134 |          6 |         45 |        185 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\opmodes\autonomous\Sample.java                                    | Java       |          7 |          0 |          4 |         11 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\opmodes\autonomous\ShootCloseHighThenDriveThenShootCloseHigh.java | Java       |         29 |          0 |          3 |         32 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\opmodes\autonomous\ShootCloseHighThenDriveThenShootFarHigh.java   | Java       |         26 |          1 |          3 |         30 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\opmodes\autonomous\ShootCloseLowThenDrive.java                    | Java       |         22 |          0 |          3 |         25 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\opmodes\autonomous\ShootCloseLowThenDriveThenShootCloseLow.java   | Java       |         29 |          0 |          3 |         32 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\opmodes\debug\Test.java                                           | Java       |         10 |          5 |          5 |         20 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\opmodes\teleop\Teleop.java                                        | Java       |         12 |          0 |          5 |         17 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\sensors\Linebreaker.java                                          | Java       |         17 |          0 |          5 |         22 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Climber.java                                           | Java       |         60 |          0 |         24 |         84 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Drivetrain.java                                        | Java       |        172 |          9 |         57 |        238 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Electronics.java                                       | Java       |         30 |          3 |          6 |         39 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Intake.java                                            | Java       |         48 |          0 |         14 |         62 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Magazine.java                                          | Java       |        205 |          1 |         53 |        259 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\NavX.java                                              | Java       |         24 |          1 |          8 |         33 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Pneumatics.java                                        | Java       |         18 |          0 |          6 |         24 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Shooter.java                                           | Java       |        255 |          6 |         71 |        332 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Vision\ComputerVision.java                             | Java       |         52 |          3 |         15 |         70 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Vision\Coordinates.java                                | Java       |         15 |          0 |          4 |         19 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Vision\Line.java                                       | Java       |         19 |          0 |          5 |         24 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Vision\PointV.java                                     | Java       |         15 |          0 |          4 |         19 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\AutoConfigurable.java                                   | Java       |        157 |          4 |         26 |        187 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\AutoOpMode.java                                         | Java       |         88 |          1 |         23 |        112 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\AutoTask.java                                           | Java       |         30 |          0 |          7 |         37 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\ShooterSetting.java                                     | Java       |         14 |          0 |          4 |         18 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\di\DiContainer.java                                     | Java       |        164 |        186 |         60 |        410 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\di\DiContext.java                                       | Java       |         19 |         12 |          3 |         34 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\di\DiExceptions.java                                    | Java       |          7 |          0 |          2 |          9 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\di\DiInterfaces.java                                    | Java       |         15 |         20 |          3 |         38 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\di\DiRule.java                                          | Java       |         66 |         37 |         17 |        120 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\di\DiRuleBuilder.java                                   | Java       |        122 |         99 |         58 |        279 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\wpilibdi\DiCommand.java                                 | Java       |         66 |          7 |         21 |         94 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\wpilibdi\DiOpMode.java                                  | Java       |          6 |          0 |          4 |         10 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\wpilibdi\DiRobot.java                                   | Java       |         94 |          0 |         43 |        137 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\wpilibdi\DiSubsystem.java                               | Java       |         24 |          2 |         12 |         38 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\wpilibdi\DiTest.java                                    | Java       |         74 |          0 |         23 |         97 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\wpilibdi\DiTestProctor.java                             | Java       |         36 |          1 |         16 |         53 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\wpilibdi\WPILibDiContainer.java                         | Java       |         73 |         61 |         35 |        169 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\wpilibdi\WPILibDiRuleBuilder.java                       | Java       |        143 |          0 |         77 |        220 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\vendordeps\Phoenix.json                                                                   | JSON       |        257 |          0 |          0 |        257 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\vendordeps\REVLib.json                                                                    | JSON       |         73 |          0 |          0 |         73 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\vendordeps\WPILibNewCommands.json                                                         | JSON       |         37 |          0 |          1 |         38 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\vendordeps\navx_frc.json                                                                  | JSON       |         35 |          0 |          0 |         35 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\vendordeps\photonlib.json                                                                 | JSON       |         41 |          0 |          0 |         41 |
| Total                                                                                                                                  |            |      3,862 |        541 |      1,061 |      5,464 |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
