Date : 2022-03-31 12:21:06
Directory : c:\Users\FizzyApple12\Desktop\3494_2022_repo
Total : 71 files,  3862 codes, 541 comments, 1061 blanks, all 5464 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Java       |         56 |      3,091 |        523 |      1,007 |      4,621 |
| JSON       |          8 |        561 |          0 |          3 |        564 |
| Groovy     |          2 |         81 |         18 |         23 |        122 |
| Batch      |          1 |         68 |          0 |         22 |         90 |
| Ini        |          1 |         31 |          0 |          1 |         32 |
| Markdown   |          1 |         22 |          0 |          3 |         25 |
| Properties |          1 |          5 |          0 |          1 |          6 |
| YAML       |          1 |          3 |          0 |          1 |          4 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                      |         71 |      3,862 |        541 |      1,061 |      5,464 |
| .wpilib                                                                                                                                |          1 |          6 |          0 |          0 |          6 |
| gradle                                                                                                                                 |          1 |          5 |          0 |          1 |          6 |
| gradle\wrapper                                                                                                                         |          1 |          5 |          0 |          1 |          6 |
| src                                                                                                                                    |         56 |      3,091 |        523 |      1,007 |      4,621 |
| src\main                                                                                                                               |         56 |      3,091 |        523 |      1,007 |      4,621 |
| src\main\java                                                                                                                          |         56 |      3,091 |        523 |      1,007 |      4,621 |
| src\main\java\frc                                                                                                                      |         56 |      3,091 |        523 |      1,007 |      4,621 |
| src\main\java\frc\robot                                                                                                                |         56 |      3,091 |        523 |      1,007 |      4,621 |
| src\main\java\frc\robot\commands                                                                                                       |         13 |        471 |          6 |        155 |        632 |
| src\main\java\frc\robot\commands\autonomous                                                                                            |          7 |        257 |          0 |         80 |        337 |
| src\main\java\frc\robot\commands\debug                                                                                                 |          5 |         80 |          0 |         30 |        110 |
| src\main\java\frc\robot\commands\teleop                                                                                                |          1 |        134 |          6 |         45 |        185 |
| src\main\java\frc\robot\opmodes                                                                                                        |          7 |        135 |          6 |         26 |        167 |
| src\main\java\frc\robot\opmodes\autonomous                                                                                             |          5 |        113 |          1 |         16 |        130 |
| src\main\java\frc\robot\opmodes\debug                                                                                                  |          1 |         10 |          5 |          5 |         20 |
| src\main\java\frc\robot\opmodes\teleop                                                                                                 |          1 |         12 |          0 |          5 |         17 |
| src\main\java\frc\robot\sensors                                                                                                        |          1 |         17 |          0 |          5 |         22 |
| src\main\java\frc\robot\subsystems                                                                                                     |         12 |        913 |         23 |        267 |      1,203 |
| src\main\java\frc\robot\subsystems\Vision                                                                                              |          4 |        101 |          3 |         28 |        132 |
| src\main\java\frc\robot\utilities                                                                                                      |         18 |      1,198 |        430 |        434 |      2,062 |
| src\main\java\frc\robot\utilities\di                                                                                                   |          6 |        393 |        354 |        143 |        890 |
| src\main\java\frc\robot\utilities\wpilibdi                                                                                             |          8 |        516 |         71 |        231 |        818 |
| vendordeps                                                                                                                             |          5 |        443 |          0 |          1 |        444 |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                               | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\.travis.yml                                                                               | YAML       |          3 |          0 |          1 |          4 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\.wpilib\wpilib_preferences.json                                                           | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\WPILib-License.md                                                                         | Markdown   |         22 |          0 |          3 |         25 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\build.gradle                                                                              | Groovy     |         55 |         18 |         21 |         94 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\gradle\wrapper\gradle-wrapper.properties                                                  | Properties |          5 |          0 |          1 |          6 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\gradlew.bat                                                                               | Batch      |         68 |          0 |         22 |         90 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\networktables.ini                                                                         | Ini        |         31 |          0 |          1 |         32 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\settings.gradle                                                                           | Groovy     |         26 |          0 |          2 |         28 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\simgui-ds.json                                                                            | JSON       |         92 |          0 |          1 |         93 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\simgui.json                                                                               | JSON       |         20 |          0 |          1 |         21 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\Main.java                                                         | Java       |          9 |          0 |          4 |         13 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\OI.java                                                           | Java       |         97 |         47 |         39 |        183 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\Robot.java                                                        | Java       |         74 |          3 |         17 |         94 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\RobotConfig.java                                                  | Java       |        137 |          8 |         44 |        189 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\RobotMap.java                                                     | Java       |         40 |          0 |         16 |         56 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\autonomous\CustomTask.java                               | Java       |         41 |          0 |          9 |         50 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\autonomous\CustomTimedTask.java                          | Java       |         46 |          0 |         13 |         59 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\autonomous\IntakeTask.java                               | Java       |         32 |          0 |          9 |         41 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\autonomous\MovementTask.java                             | Java       |         60 |          0 |         22 |         82 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\autonomous\ShootBallTask.java                            | Java       |         27 |          0 |          9 |         36 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\autonomous\ShootTask.java                                | Java       |         28 |          0 |         10 |         38 |
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\autonomous\WaitTask.java                                 | Java       |         23 |          0 |          8 |         31 |
